Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Switzerland,Western Europe,1,7.587,3.411,13.9651,13.4951,9.4143,6.6557,4.1978,2.9678,2.51738
Iceland,Western Europe,2,7.561,4.884,13.0232,14.0223,9.4784,6.2877,1.4145,4.363,2.70201
Denmark,Western Europe,3,7.527,3.328,13.2548,13.6058,8.7464,6.4938,4.8357,3.4139,2.49204
Norway,Western Europe,4,7.522,3.88,14.59,13.3095,8.8521,6.6973,3.6503,3.4699,2.46531
Canada,North America,5,7.427,3.553,13.2629,13.2261,9.0563,6.3297,3.2957,4.5811,2.45176
Finland,Western Europe,6,7.406,3.14,12.9025,13.1826,8.8911,6.4169,4.1372,2.3351,2.61955
Netherlands,Western Europe,7,7.378,2.799,13.2944,12.8017,8.9284,6.1576,3.1814,4.761,2.4657
Sweden,Western Europe,8,7.364,3.157,13.3171,12.8907,9.1087,6.598,4.3844,3.6262,2.37119
New Zealand,Australia and New Zealand,9,7.286,3.371,12.5018,13.1967,9.0837,6.3938,4.2922,4.7501,2.26425
Australia,Australia and New Zealand,10,7.284,4.083,13.3358,13.0923,9.3156,6.5124,3.5637,4.3562,2.26646
Israel,Middle East and Northern Africa,11,7.278,3.47,12.2857,12.2393,9.1387,4.1319,0.7785,3.3172,3.08854
Costa Rica,Latin America and Caribbean,12,7.226,4.454,9.5578,12.3788,8.6027,6.3376,1.0583,2.5497,3.17728
Austria,Western Europe,13,7.2,3.751,13.3723,12.9704,8.9042,6.2433,1.8676,3.3088,2.5332
Mexico,Latin America and Caribbean,14,7.187,4.176,10.2054,9.1451,8.1444,4.8181,2.1312,1.4074,3.60214
United States,North America,15,7.119,3.839,13.9451,12.4711,8.6179,5.4604,1.589,4.0105,2.51011
Brazil,Latin America and Caribbean,16,6.983,4.076,9.8124,12.3287,6.9702,4.9049,1.7521,1.4574,3.26001
Luxembourg,Western Europe,17,6.946,3.499,15.6391,12.1963,9.1894,6.1583,3.7798,2.8034,1.96961
Ireland,Western Europe,18,6.94,3.676,13.3596,13.6948,8.9533,6.1777,2.8703,4.5901,1.9757
Belgium,Western Europe,19,6.937,3.595,13.0782,12.8566,8.9667,5.845,2.254,2.225,2.41484
United Arab Emirates,Middle East and Northern Africa,20,6.901,3.729,14.2727,11.2575,8.0925,6.4157,3.8583,2.6428,2.24743
United Kingdom,Western Europe,21,6.867,1.866,12.6637,12.8548,9.0943,5.9625,3.2067,5.1912,1.96994
Oman,Middle East and Northern Africa,22,6.853,5.335,13.6011,10.8182,7.6276,6.3274,3.2524,2.1542,2.47489
Venezuela,Latin America and Caribbean,23,6.81,6.476,10.4424,12.5596,7.2052,4.2908,1.1069,0.5841,3.19131
Singapore,Southeastern Asia,24,6.798,3.78,15.2186,10.2,10.2525,5.4252,4.921,3.1105,1.88501
Panama,Latin America and Caribbean,25,6.786,4.91,10.6353,11.985,7.9661,5.421,0.927,2.4434,2.84848
Germany,Western Europe,26,6.75,1.848,13.2792,12.9937,8.9186,6.1477,2.1843,2.8214,2.11569
Chile,Latin America and Caribbean,27,6.67,5.8,11.0715,11.2447,8.5857,4.4132,1.2869,3.3363,2.67585
Qatar,Middle East and Northern Africa,28,6.611,6.257,16.9042,10.786,7.9733,6.404,5.2208,3.2573,1.55674
France,Western Europe,29,6.575,3.512,12.7778,12.6038,9.4579,5.5011,2.0646,1.2332,2.21126
Argentina,Latin America and Caribbean,30,6.574,4.612,10.5351,12.4823,7.8723,4.4974,0.8484,1.1451,2.836
Czech Republic,Central and Eastern Europe,31,6.505,4.168,11.7898,12.0643,8.4483,4.6364,0.2652,1.0686,2.67782
Uruguay,Latin America and Caribbean,32,6.485,4.539,10.6166,12.089,8.116,6.0362,2.4558,2.324,2.32142
Colombia,Latin America and Caribbean,33,6.477,5.051,9.1861,12.4018,6.9077,5.3466,0.512,1.8401,2.85737
Thailand,Southeastern Asia,34,6.455,3.557,9.669,12.6504,7.385,5.5664,0.3187,5.763,2.31945
Saudi Arabia,Middle East and Northern Africa,35,6.411,4.633,13.9541,10.8393,7.2025,3.1048,3.2524,1.3706,2.43872
Spain,Western Europe,36,6.329,3.468,12.3011,13.1379,9.5562,4.5951,0.6398,1.8227,2.12367
Malta,Western Europe,37,6.302,4.206,12.074,13.0203,8.8721,6.0365,1.3586,5.1752,1.6488
Taiwan,Eastern Asia,38,6.298,3.868,12.9098,10.7617,8.753,3.974,0.8129,2.5376,2.32323
Kuwait,Middle East and Northern Africa,39,6.295,4.456,15.5422,11.6594,7.2492,5.5499,2.5609,1.6228,1.87634
Suriname,Latin America and Caribbean,40,6.269,9.811,9.9534,9.72,6.082,5.9657,1.3633,1.6991,2.79094
Trinidad and Tobago,Latin America and Caribbean,41,6.168,10.895,12.1183,11.8354,6.1483,5.5884,0.114,3.1844,2.26882
El Salvador,Latin America and Caribbean,42,6.13,5.618,7.6454,10.2507,6.7737,4.035,1.1776,1.0692,3.035
Guatemala,Latin America and Caribbean,43,6.123,5.224,7.4553,10.4356,6.4425,5.7733,0.9472,2.7489,2.74255
Uzbekistan,Central and Eastern Europe,44,6.003,4.361,6.3244,13.4043,5.9772,6.5821,3.0826,2.2837,2.23741
Slovakia,Central and Eastern Europe,45,5.995,4.267,11.6891,12.6999,7.8902,3.1751,0.3431,1.6893,2.24639
Japan,Eastern Asia,46,5.987,3.581,12.7074,12.5712,9.9111,4.9615,1.806,1.0705,1.68435
South Korea,Eastern Asia,47,5.984,4.098,12.4461,9.5774,9.6538,3.3208,0.7857,1.8557,2.21978
Ecuador,Latin America and Caribbean,48,5.975,4.528,8.6402,9.9903,7.9075,4.8574,1.809,1.1541,2.53942
Bahrain,Middle East and Northern Africa,49,5.96,5.412,13.2376,12.1624,7.4716,4.5492,3.06,1.7362,1.73797
Italy,Western Europe,50,5.948,3.914,12.5114,11.9777,9.5446,2.6236,0.2901,2.2823,2.02518
Bolivia,Latin America and Caribbean,51,5.89,5.642,6.8133,9.7841,5.392,5.7414,0.88,2.0536,2.82334
Moldova,Central and Eastern Europe,52,5.889,3.799,5.9448,10.1528,6.1826,3.2818,0.1615,2.0951,3.10712
Paraguay,Latin America and Caribbean,53,5.878,4.563,7.5985,13.0477,6.6098,5.3899,0.8242,3.424,2.18896
Kazakhstan,Central and Eastern Europe,54,5.855,4.114,11.2254,11.2241,6.4368,5.1649,0.8454,1.1827,2.24729
Slovenia,Central and Eastern Europe,55,5.848,4.251,11.8498,12.7385,8.7337,6.0855,0.3787,2.5328,1.61583
Lithuania,Central and Eastern Europe,56,5.833,3.843,11.4723,12.5745,7.3128,2.1342,0.1031,0.2641,2.44649
Nicaragua,Latin America and Caribbean,57,5.828,5.371,5.9325,11.4184,7.4314,5.5475,1.9317,2.7815,2.32407
Peru,Latin America and Caribbean,58,5.824,4.615,9.0019,9.7459,7.3017,4.1496,0.5989,1.4982,2.5945
Belarus,Central and Eastern Europe,59,5.813,3.938,10.3192,12.3289,7.3608,3.7938,1.909,1.1046,2.1309
Poland,Central and Eastern Europe,60,5.791,4.263,11.2555,12.7948,7.7903,5.3122,0.4212,1.6759,1.86565
Malaysia,Southeastern Asia,61,5.77,4.33,11.2486,10.7023,7.2394,5.3024,1.0501,3.3075,1.88541
Croatia,Central and Eastern Europe,62,5.759,4.394,10.8254,7.9624,7.8805,2.5883,0.243,0.5444,2.75414
Libya,Middle East and Northern Africa,63,5.754,7.832,11.3145,11.1862,7.038,4.1668,1.1023,1.8295,2.09066
Russia,Central and Eastern Europe,64,5.716,3.135,11.3764,12.3617,6.6926,3.6679,0.3005,0.0199,2.27394
Jamaica,Latin America and Caribbean,65,5.709,13.693,8.1038,11.5102,6.8741,5.0442,0.2299,2.123,2.32038
North Cyprus,Western Europe,66,5.695,5.635,12.0806,10.7008,9.2356,4.9027,1.428,2.6169,1.59888
Cyprus,Western Europe,67,5.689,5.58,12.0813,8.9318,9.2356,4.0672,0.6146,3.0638,1.88931
Algeria,Middle East and Northern Africa,68,5.605,5.099,9.3929,10.7772,6.1766,2.8579,1.7383,0.7822,2.43209
Kosovo,Central and Eastern Europe,69,5.589,5.018,8.0148,8.1198,6.3132,2.4749,0.4741,2.831,2.76579
Turkmenistan,Central and Eastern Europe,70,5.548,4.175,9.5847,12.2668,5.3886,4.761,3.0844,1.6979,1.86984
Mauritius,Sub-Saharan Africa,71,5.477,7.197,10.0761,9.8521,7.095,5.6066,0.7521,3.7744,1.76145
Hong Kong,Eastern Asia,72,5.474,5.051,13.8604,10.5818,10.1328,5.9608,3.7124,3.9478,0.65429
Estonia,Central and Eastern Europe,73,5.429,4.013,11.5174,12.2791,7.7361,4.4888,1.5184,0.868,1.58782
Indonesia,Southeastern Asia,74,5.399,2.596,8.2827,10.8708,6.3793,4.6611,0,5.1535,1.86399
Vietnam,Southeastern Asia,75,5.36,3.107,6.3216,9.1226,7.4676,5.9444,1.0441,1.686,2.20173
Turkey,Middle East and Northern Africa,76,5.332,3.864,10.6098,9.4632,7.3172,2.2815,1.5746,1.2253,2.08528
Kyrgyzstan,Central and Eastern Europe,77,5.286,3.823,4.7428,11.5115,6.5088,4.3477,0.4232,3.003,2.2327
Nigeria,Sub-Saharan Africa,78,5.268,4.192,6.5435,9.0432,1.6007,3.4334,0.403,2.7233,2.89319
Bhutan,Southern Asia,79,5.253,3.225,7.7042,11.0395,5.7407,5.3206,1.5445,4.7998,1.63794
Azerbaijan,Central and Eastern Europe,80,5.212,3.363,10.2389,9.3793,6.4045,3.703,1.6065,0.7799,2.00073
Pakistan,Southern Asia,81,5.194,3.726,5.9543,4.1411,5.1466,1.2102,1.0464,3.3671,3.10709
Jordan,Middle East and Northern Africa,82,5.192,4.524,9.0198,10.5392,6.9639,4.0661,1.4293,1.1053,1.87996
Montenegro,Central and Eastern Europe,82,5.192,5.235,9.7438,9.0557,7.2521,1.826,1.4296,1.614,2.10017
China,Eastern Asia,84,5.14,2.424,8.9012,9.4675,8.1658,5.1697,0.2781,0.8185,1.8604
Zambia,Sub-Saharan Africa,85,5.129,6.988,4.7038,9.1612,2.9924,4.8827,1.2468,1.9591,2.6343
Romania,Central and Eastern Europe,86,5.124,6.607,10.4345,8.8588,7.689,3.5068,0.0649,1.3748,1.93129
Serbia,Central and Eastern Europe,87,5.123,4.864,9.2053,10.0964,7.4836,2.0107,0.2617,1.9231,2.025
Portugal,Western Europe,88,5.102,4.802,11.5991,11.3935,8.7519,5.1469,0.1078,1.3719,1.26462
Latvia,Central and Eastern Europe,89,5.098,4.64,11.1312,10.9562,7.2437,2.9671,0.6332,1.8226,1.62215
Philippines,Southeastern Asia,90,5.073,4.934,7.0532,10.3516,5.8114,6.2545,1.2279,2.4991,1.7536
Somaliland region,Sub-Saharan Africa,91,5.057,6.161,1.8847,9.5152,4.3873,4.6582,3.9928,5.0318,2.11032
Morocco,Middle East and Northern Africa,92,5.013,3.42,7.3479,6.4095,6.0954,4.1691,0.8546,0.7172,2.45373
Macedonia,Central and Eastern Europe,93,5.007,5.376,9.1851,10.0232,7.3545,3.3457,0.5327,2.2359,1.73933
Mozambique,Sub-Saharan Africa,94,4.971,7.896,0.8308,10.2626,0.9131,3.4037,1.5603,2.2269,3.05137
Albania,Central and Eastern Europe,95,4.959,5.013,8.7867,8.0434,8.1325,3.5733,0.6413,1.4272,1.89894
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,6.913,8.3223,9.1916,7.9081,0.9245,0.0227,2.4808,2.06367
