age,visual_deficiency,astigmatism,production,service_rating
jove,miope,no,reduida,cap
jove,miope,no,normal,toves
jove,miope,si,reduida,cap
jove,miope,si,normal,dures
jove,hipermetrope,no,reduida,cap
jove,hipermetrope,no,normal,toves
jove,hipermetrope,si,reduida,cap
jove,hipermetrope,si,normal,dures
preprebiopic,miope,no,reduida,cap
preprebiopic,miope,no,normal,toves
preprebiopic,miope,si,reduida,cap
preprebiopic,miope,si,normal,dures
preprebiopic,hipermetrope,no,reduida,cap
preprebiopic,hipermetrope,no,normal,toves
preprebiopic,hipermetrope,si,reduida,cap
preprebiopic,hipermetrope,si,normal,cap
prebiopic,miope,no,reduida,cap
prebiopic,miope,no,normal,cap
prebiopic,miope,si,reduida,cap
prebiopic,miope,si,normal,dures
prebiopic,hipermetrope,no,reduida,cap
prebiopic,hipermetrope,no,normal,toves
prebiopic,hipermetrope,si,reduida,cap
prebiopic,hipermetrope,si,normal,cap
